GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
694416853,20171002,201710,2017,2017.7452,USAELI,PENN JILLETTE,USA,,,,,ELI,,,,,,,,,,,,,1,193,193,19,4,-10.0,28,10,28,-7.24198402521098,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,http://www.newswest9.com/story/36497477/deadly-las-vegas-mass-shooting-spurs-grief-horror-on-social-media
694516919,20171002,201710,2017,2017.7452,OPP,ACTIVIST,,,,,,OPP,,,,,,,,,,,,,1,010,010,01,1,0.0,10,1,10,-2.48091603053435,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,http://www.dailymail.co.uk/tvshowbiz/article-4941596/Amber-Rose-discusses-Blac-Chyna-s-revenge-porn-case.html
694519976,20171002,201710,2017,2017.7452,UAF,GUNMAN,,,,,,UAF,,,,,,,,,,,,,0,171,171,17,4,-9.2,95,31,95,-5.51421481920607,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,http://www.theprogress.com/news/surreal-moment-for-south-surrey-man-held-in-lockdown-in-las-vegas/
694547446,20171002,201710,2017,2017.7452,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,071,071,07,2,7.4,1,1,1,-0.29673590504451,2,"Louisiana, United States",US,USLA,31.1801,-91.8749,LA,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,http://www.courier-tribune.com/news/20171002/cbo-to-analyze-health-care-measure
694549538,20171002,201710,2017,2017.7452,CRM,PERPETRATOR,,,,,,CRM,,,,,,,,,,,,,1,120,120,12,3,-4.0,5,1,5,-9.09090909090908,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,https://www.bustle.com/p/the-las-vegas-suspect-was-no-lone-wolf-2743790
694407819,20171002,201710,2017,2017.7452,COP,POLICE,,,,,,COP,,,,,,,,,,,,,1,013,013,01,1,0.4,60,26,60,-6.84993499598958,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,http://www.wbir.com/news/nation-world/las-vegas-shooting-mandalay-bay-hotel/480059876
694487624,20171002,201710,2017,2017.7452,MMR,MYANMAR,MMR,,,,,,,,,,,,,,,,,,0,111,111,11,3,-2.0,1,1,1,-6.42504118616145,4,"Mandalay, Mandalay, Myanmar",BM,BM08,22.0,96.0833,-427446,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,https://www.americamagazine.org/faith/2017/10/02/pope-francis-offers-prayers-dead-and-injured-las-vegas-shooting
694527309,20171002,201710,2017,2017.7452,EDU,SCHOOL,,,,,,EDU,,,,,,,,,,,,,0,042,042,04,1,1.9,42,15,42,-3.32590298544791,2,"North Carolina, United States",US,USNC,35.6411,-79.8431,NC,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,http://abcnews.go.com/US/talk-kids-las-vegas-mass-shooting/story?id=50230618
694567273,20171002,201710,2017,2017.7452,HLH,DOCTOR,,,,,,HLH,,,,,,,,,,,,,1,051,051,05,1,3.4,115,23,115,-5.48203704697399,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,http://nepr.net/post/las-vegas-hospitals-call-back-handle-hundreds-shooting-victims
694417935,20171002,201710,2017,2017.7452,GBR,UNITED KINGDOM,GBR,,,,,,,,,,,,,,,,,,1,193,193,19,4,-10.0,16,4,16,-7.31715385101012,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,http://www.kfvs12.com/story/36497477/deadly-las-vegas-mass-shooting-spurs-grief-horror-on-social-media
694494399,20171002,201710,2017,2017.7452,USA,LAS VEGAS,USA,,,,,,,,,,,,,,,,,,1,014,014,01,1,0.0,12,4,12,-8.40322155402945,3,"Charleston, South Carolina, United States",US,USSC,32.7766,-79.9309,1221516,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,https://newsone.com/3750579/las-vegas-terrorism-trump-nevada-law-shooting/
694495581,20171002,201710,2017,2017.7452,COP,POLICE,,,,,,COP,,,,,,,,,,,,,1,036,036,03,1,4.0,125,4,125,-1.76995974928817,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,http://mix1041.cbslocal.com/2017/10/02/artist-reaction-vegas-shootings/
694506693,20171002,201710,2017,2017.7452,USA,LAS VEGAS,USA,,,,,,,,,,,,,,,,,,1,010,010,01,1,0.0,3,1,3,-9.02896081771717,3,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,http://www.wlsam.com/2017/10/02/trump-on-las-vegas-massacre-an-act-of-pure-evil/
